Name,Icon,Prompt
Protography Lens Flare,1.png,"A photo of a ___, epic, exciting, wow, cinematic, moody, hdri, lens flare, stop motion, highly detailed, octane render, soft lighting, celestial, professional, 35mm, Zeiss, Hasselblad, Fujifilm, Arriflex, IMAX, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Photography,2.png,"A photo of a ___, epic, exciting, wow, cinematic, moody, hdri, stop motion, highly detailed, octane render, soft lighting, celestial, professional, 35mm, Zeiss, Hasselblad, Fujifilm, Arriflex, IMAX, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Profile Picture,3.png,"Profile picture of a ___, documentary, oscar winning, wide shot, ultrarealistic uhd faces, Kodak Ultramax 800, pexels, 85mm, casual pose, 35mm film roll photo, hard light, detailed skin texture, masterpiece, sharp focus, pretty, lovely, adorable, attractive, hasselblad, candid street portrait:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Portrait,4.png,"Portrait of a ___, Tumblr, digital art, glowing with colored light, ethereal lighting, forest ray light, taken in 2022, handsome ___, diffused natural skin glow.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Watercolor,5.png,"Watercolor of a ___, beautiful, happy, picturesque, charming. Beautiful light. Nice colour scheme, soft warm color. Beautiful detailed watercolor.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Architecture,6.png,"Hyperrealistic photograph of a ___, lens flares, cinematic, hdri, matte painting, concept art, celestial, soft render, highly detailed, cgsociety, octane render, architectural HD, HQ, 4k, 8k.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Fantasy,7.png,"Fantasy artwork of a ___, epic lighting from above, inside a rpg game, bottom angle, epic fantasy card game art, epic character portrait, glowing and epic, full art illustration, landscape illustration, celtic fantasy art, neon fog.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Astrophotography,8.png,"A long-exposure photo of a ___, astrophotography, James Webb Telescope, Hubble Telescope, Cassini images, NASA, JPL, Fujifilm, Nikon Z6, Canon EOS 6D Mk2, Zeiss, Hasselblad, Arriflex, IMAX, 4k, 8k, highly detailed, celestial, professional.:10|Oversaturated, ugly, 3d, render, cartoon, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
Comic,9.png,"Comic book drawing of ___, professional colorist, marvel, dc comics, artistic rendering, graphic novel, promotional art, deviantart contest winner, concept art by senior environment artist, senior character artist, centered composition.:10|Ugly, 3d, render, grain, low-res, kitsch, blender, cropped, lowres, poorly drawn face, out of frame, poorly drawn hands, blurry, bad art, blurred, text, watermark, disfigured, deformed, mangled, closed eyes.:-10"
